entity_id,hospital_id,department_id,department_name
468,1,8,Ophthalmology
469,2,8,Ophthalmology
470,9,7,Dermatology
471,7,15,Oncology
472,15,7,Dermatology
473,22,16,Psychiatry
474,7,21,Radiology
475,18,12,Endocrinology
476,19,99,Emergency Med
477,15,4,Cardiology
478,9,5,Orthopedics
479,15,18,Gynecology
480,19,11,Pulmonology
481,2,2,Pediatrics
482,19,11,Pulmonology
483,12,16,Psychiatry
484,25,11,Pulmonology
485,23,15,Oncology
486,13,19,General Surgery
487,14,20,Emergency Med
488,11,14,Nephrology
489,1,21,Radiology
490,23,4,Cardiology
491,13,10,Gastro
492,8,8,Ophthalmology
493,3,14,Nephrology
494,18,2,Pediatrics
495,21,11,Pulmonology
496,23,13,Rheumatology
497,21,21,Radiology
498,15,20,Emergency Med
499,15,6,Neurology
500,5,17,Urology
501,135,15,Oncology
502,195,13,Rheumatology
503,139,13,Rheumatology
504,173,18,Gynecology
505,101,10,Gastro
506,177,1,Internal Med
507,103,11,Pulmonology
508,161,11,Pulmonology
509,136,9,ENT
510,125,15,Oncology
511,197,6,Neurology
512,157,7,Dermatology
513,30,2,Pediatrics
514,188,2,Pediatrics
515,186,16,Psychiatry
516,134,21,Radiology
517,176,13,Rheumatology
518,161,1,Internal Med
519,162,10,Gastro
520,123,3,Family Med
521,32,6,Non-existent Dept
522,177,20,Emergency Med
523,117,10,Gastro
524,142,9,ENT
525,119,21,Radiology
526,117,16,Psychiatry
527,102,12,Endocrinology
528,197,18,Gynecology
529,189,21,Radiology
530,187,11,Pulmonology
531,195,12,Endocrinology
532,122,20,Emergency Med
533,124,9,ENT
534,188,3,Family Med
535,192,7,Dermatology
536,192,9,ENT
537,124,21,Radiology
538,99,1,Internal Med
539,117,4,Cardiology
540,163,14,Nephrology
541,153,20,Emergency Med
542,153,20,Emergency Med
543,199,10,Gastro
544,130,18,Gynecology
545,174,18,Gynecology
546,157,10,Gastro
547,155,21,Radiology
548,105,5,Orthopedics
549,174,1,Internal Med
550,109,7,Dermatology
551,101,19,General Surgery
552,149,9,ENT
553,110,7,Dermatology
554,126,9,ENT
555,193,9,ENT
556,112,14,Nephrology
557,133,4,Cardiology
558,127,6,Neurology
559,192,13,Rheumatology
560,177,18,Gynecology
561,123,7,Dermatology
562,156,10,Gastro
563,107,10,Gastro
564,174,5,Orthopedics
565,172,5,Orthopedics
566,163,7,Dermatology
567,120,13,Rheumatology
568,160,4,Cardiology
569,137,3,Family Med
570,156,9,ENT
571,191,8,Ophthalmology
572,171,15,Oncology
573,189,16,Psychiatry
574,176,15,Oncology
575,118,12,Endocrinology
576,101,14,Nephrology
577,101,2,Pediatrics
578,139,17,Urology
579,182,16,Psychiatry
580,129,12,Endocrinology
581,102,18,Gynecology
582,183,8,Ophthalmology
583,146,1,Internal Med
584,128,4,Cardiology
585,126,5,Orthopedics
586,175,10,Gastro
587,104,13,Rheumatology
588,112,15,Oncology
589,191,14,Nephrology
590,198,1,Internal Med
591,188,3,Family Med
592,115,18,Gynecology
593,175,11,Pulmonology
594,188,1,Internal Med
595,195,13,Rheumatology
596,160,12,Endocrinology
597,102,7,Dermatology
598,169,14,Nephrology
599,134,14,Nephrology
600,129,14,Nephrology
601,189,6,Neurology
602,109,8,Ophthalmology
603,179,6,Neurology
604,140,8,Ophthalmology
605,146,1,Internal Med
606,141,3,Family Med
607,132,10,Gastro
608,153,8,Ophthalmology
609,161,17,Urology
610,167,16,Psychiatry
611,159,18,Gynecology
612,166,19,General Surgery
613,130,3,Family Med
614,128,12,Endocrinology
615,161,12,Endocrinology
616,150,11,Pulmonology
617,118,8,Ophthalmology
618,148,6,Neurology
619,,3,Family Med
620,,3,Family Med
HD-1,,1,Internal Med
HD-2,,2,Pediatrics
HD-3,,3,Family Med
HD-4,,4,Cardiology
HD-5,,5,Orthopedics
HD-6,,6,Neurology
HD-7,,7,Dermatology
HD-8,,8,Ophthalmology
HD-9,,9,ENT
HD-10,,10,Gastro
HD-11,,11,Pulmonology
HD-12,,12,Endocrinology
HD-13,,13,Rheumatology
HD-14,,14,Nephrology
HD-15,,15,Oncology
HD-16,,16,Psychiatry
HD-17,,17,Urology
HD-18,,18,Gynecology
HD-19,,19,General Surgery
HD-20,,20,Emergency Med
HD-21,,21,Radiology
642,1,999,Phantom Dept
643,999,1,Internal Med
644,2,1,Internal Med
