assignment_id,nurse_id,department_id,shift_date,shift_type,is_charge_nurse
119,112,10,2026-10-07,Morning,False
120,16,4,2024-12-29,Evening,False
121,87,21,2026-01-09,Night,True
122,102,7,2025-12-30,Morning,False
123,119,21,2026-06-03,Morning,False
124,90,6,2026-11-21,Morning,True
125,28,17,2024-11-23,Morning,True
126,89,1,2024-11-18,Morning,False
127,5,18,2025-04-26,Evening,False
128,45,6,2025-10-21,Morning,True
129,119,8,2026-11-28,Morning,False
130,79,3,2024-05-17,Morning,False
131,79,3,2025-12-19,Morning,False
132,97,15,2026-12-09,Evening,False
133,7,8,2024-05-14,Night,False
134,111,13,2025-01-22,Morning,False
135,111,3,2025-08-29,Night,True
136,60,18,2026-07-29,Evening,False
137,12,5,2026-05-11,Evening,False
138,31,4,2026-05-18,Evening,False
139,49,11,2025-12-22,Morning,False
140,82,2,2026-02-20,Night,True
141,67,9,2026-02-01,Evening,False
142,105,19,2024-06-04,Night,False
143,4,6,2026-04-30,Evening,False
144,4,15,2026-04-30,Evening,False
145,99,12,2026-11-09,Evening,False
146,74,16,2025-11-19,Night,False
147,36,11,2025-05-01,Morning,False
148,119,7,2025-11-30,Night,False
149,90,14,2024-03-18,Evening,False
150,58,11,2024-05-06,Morning,False
151,40,999,2026-03-25,Night,True
152,24,9,2024-10-02,Night,False
153,96,5,2024-05-25,Evening,False
154,43,17,2025-01-28,Night,False
155,109,16,2025-09-24,Morning,False
156,38,9,2024-10-14,Evening,False
157,106,2,2024-07-16,Morning,False
158,60,2,2025-04-17,Morning,False
159,120,21,2024-05-12,Evening,False
160,38,2,2024-01-24,Night,False
161,23,11,2025-07-10,Night,False
162,75,11,2026-05-12,Night,False
163,67,3,2024-02-06,Evening,False
164,26,9,2026-05-12,Morning,False
165,49,5,2024-10-12,Morning,False
166,40,7,2026-04-26,Evening,False
167,105,18,2026-11-23,Evening,False
168,47,17,2025-05-09,Morning,False
169,48,1,2024-12-23,Evening,True
170,83,1,2024-05-18,Morning,False
171,92,15,2024-11-24,Morning,False
172,96,8,2026-10-30,Morning,True
173,67,5,2024-12-17,Night,True
174,88,19,2025-03-30,Night,False
175,24,2,2024-05-31,Evening,False
176,108,8,2024-07-10,Night,False
177,49,14,2026-01-20,Evening,False
178,8,1,2026-11-05,Evening,False
179,118,16,2025-06-30,Morning,False
180,89,20,2026-12-25,Evening,False
181,94,1,2025-10-09,Evening,False
182,34,18,2026-01-22,Morning,True
183,91,1,2024-12-22,Evening,True
184,96,21,2026-07-22,Night,False
185,119,6,2026-05-11,Night,False
186,119,12,2026-05-11,Night,False
187,101,11,2026-02-02,Night,False
188,114,17,2025-10-25,Night,False
189,36,13,2025-02-07,Night,False
190,80,1,2025-01-14,Night,False
191,105,4,2026-09-03,Night,False
192,109,3,2025-09-03,Evening,False
193,14,9,2024-11-20,Night,False
194,46,1,2026-08-31,Evening,False
195,71,12,2024-10-23,Evening,False
196,112,2,2026-05-02,Night,True
197,80,9,2024-11-28,Night,True
198,27,9,2026-08-30,Morning,False
199,100,1,2024-01-06,Evening,False
200,63,21,2024-08-14,Night,False
201,28,21,2025-10-26,Morning,False
202,82,10,2026-06-08,Evening,False
203,30,9,2024-12-27,Morning,False
204,35,9,2025-08-04,Morning,False
205,18,16,2024-07-20,Evening,True
206,8,19,2026-04-02,Morning,False
207,83,8,2026-08-22,Evening,True
208,25,19,2025-08-22,Evening,False
209,71,7,2026-02-20,Evening,False
210,75,16,2025-03-27,Evening,False
211,99,12,2026-06-11,Evening,True
212,51,16,2025-08-19,Morning,True
213,51,21,2025-08-19,Morning,False
214,39,1,2026-07-28,Night,False
215,37,16,2024-08-13,Evening,False
216,76,9,2024-03-16,Morning,True
217,89,4,2025-09-24,Morning,False
218,109,4,2024-10-26,Night,False
219,7,7,2026-08-06,Night,True
220,42,4,2024-08-29,Evening,False
221,23,3,2024-06-03,Morning,False
222,5,11,2024-12-15,Night,True
223,110,4,2025-01-28,Evening,True
224,64,3,2024-08-08,Morning,False
225,43,13,2026-08-06,Night,False
226,119,7,2024-06-17,Evening,True
227,31,20,2025-04-10,Evening,True
228,82,2,2026-05-16,Evening,False
229,55,5,2026-06-09,Evening,False
230,77,11,2025-02-25,Evening,False
231,98,9,2026-03-02,Evening,False
232,8,13,2026-02-01,Night,False
233,35,9,2026-03-23,Night,False
234,32,4,2026-03-05,Morning,True
235,32,6,2026-09-06,Evening,False
236,62,11,2025-06-22,Evening,False
237,116,15,2025-11-21,Evening,False
238,97,21,2024-08-01,Evening,False
239,106,4,2025-04-08,Night,False
240,7,19,2025-01-04,Morning,False
241,54,3,2026-09-11,Morning,False
242,70,18,2026-07-11,Night,False
243,116,5,2025-06-09,Night,False
244,92,11,2025-12-25,Morning,False
245,1,14,2025-06-09,Night,False
246,28,16,2024-04-01,Night,False
247,109,20,2024-10-21,Morning,False
248,15,14,2026-09-16,Night,False
249,68,18,2025-10-04,Morning,False
250,73,8,2026-08-29,Night,False
251,2,19,2024-01-26,Night,False
252,108,19,2026-05-22,Evening,False
253,20,15,2024-06-03,Night,False
254,72,18,2025-10-26,Evening,False
255,32,14,2024-10-19,Morning,False
256,120,4,2024-01-20,Evening,False
257,9,2,2026-08-26,Evening,False
258,94,3,2024-06-25,Night,False
259,86,13,2024-11-26,Evening,False
260,24,18,2026-01-11,Morning,False
261,69,10,2024-01-24,Night,False
262,48,1,2026-05-27,Morning,False
263,107,10,2024-09-24,Morning,False
264,46,999,2024-10-09,Morning,False
265,99,20,2026-11-24,Night,False
266,94,18,2024-03-09,Night,False
267,44,2,2026-05-29,Morning,False
268,63,1,2025-03-28,Night,False
269,93,21,2025-04-06,Morning,False
270,57,9,2025-01-08,Night,False
271,42,21,2025-07-16,Night,False
272,78,9,2025-04-20,Morning,False
273,60,4,2025-02-23,Evening,False
274,4,21,2025-09-21,Night,False
275,25,6,2024-04-03,Night,True
276,29,16,2024-11-19,Morning,False
277,84,5,2025-02-22,Morning,True
278,43,8,2025-05-20,Night,False
279,10,999,2025-08-17,Morning,True
280,62,4,2025-08-22,Morning,False
281,34,6,2025-04-05,Evening,False
282,28,18,2024-07-18,Morning,False
283,48,19,2026-02-25,Morning,False
284,6,9,2026-11-14,Night,False
285,1,999,2025-01-07,Morning,False
286,20,4,2026-10-27,Morning,False
287,53,19,2025-08-25,Evening,True
288,74,11,2026-07-19,Morning,False
289,37,11,2024-12-07,Morning,False
290,16,19,2025-08-06,Evening,False
291,56,17,2024-02-16,Morning,False
292,93,5,2026-03-24,Evening,False
293,112,3,2026-08-07,Morning,False
294,29,4,2026-04-07,Morning,False
295,93,9,2024-05-19,Morning,False
296,20,19,2026-08-27,Morning,False
297,67,20,2026-04-16,Morning,True
298,42,8,2026-04-23,Night,False
299,76,19,2024-10-08,Morning,False
300,27,7,2024-11-06,Morning,True
301,58,21,2024-12-05,Night,True
302,28,20,2026-10-05,Morning,False
303,54,2,2024-04-08,Morning,True
304,46,16,2024-10-08,Morning,False
305,95,6,2026-02-27,Morning,False
306,25,18,2024-11-11,Evening,False
307,120,12,2026-02-06,Night,False
308,2,4,2026-11-26,Night,False
309,70,8,2026-02-13,Evening,False
310,19,13,2025-11-30,Morning,False
311,28,10,2025-09-06,Evening,False
312,28,18,2025-09-06,Evening,False
313,5,19,2024-04-11,Night,True
314,49,17,2026-01-22,Morning,False
315,18,17,2024-06-04,Morning,False
316,45,2,2025-08-06,Morning,False
317,29,19,2025-08-27,Evening,True
318,59,16,2026-10-11,Morning,True
319,19,13,2024-07-26,Night,False
320,20,9,2025-12-22,Morning,False
321,120,14,2025-07-23,Evening,True
322,98,9,2026-10-29,Evening,False
323,20,16,2026-05-16,Night,False
324,12,2,2025-09-16,Evening,False
325,63,13,2025-10-13,Evening,False
326,52,6,2026-11-22,Morning,False
327,26,1,2024-05-07,Morning,False
328,41,7,2024-04-15,Evening,False
329,53,12,2025-07-02,Evening,False
330,69,10,2024-01-09,Night,False
331,20,20,2024-12-09,Morning,False
332,72,1,2024-03-07,Morning,False
333,39,18,2026-03-28,Night,False
334,2,8,2026-10-22,Night,False
335,58,4,2026-04-24,Evening,False
336,81,17,2024-06-21,Morning,False
337,47,7,2026-10-11,Morning,False
338,48,1,2025-07-25,Morning,False
339,12,14,2025-11-27,Morning,True
340,58,999,2026-06-15,Morning,False
341,40,16,2024-06-01,Morning,False
342,92,17,2024-12-12,Night,False
343,4,8,2026-01-12,Morning,False
344,29,7,2026-03-25,Morning,True
345,42,4,2026-05-27,Morning,False
346,90,7,2024-12-02,Night,False
347,78,4,2026-02-22,Morning,False
348,78,8,2026-02-22,Morning,False
349,120,2,2024-08-24,Morning,False
350,38,7,2025-03-30,Evening,False
351,71,999,2025-03-04,Night,False
352,1,9999,2025-06-21,Evening,False
353,39,0,2026-06-16,Night,False
354,56,-1,2026-09-23,Night,False
355,113,888,2025-04-07,Evening,False
